Manufacturer,Name,Diagonal,Generalized Size,Density Bucket ,Width,Height,Density,Bucket,Width dp,Height dp,Release date,Original version,Latest version
Dell,Dell Streak (aka Mini 5 and Streak 5),5,large,mdpi,800,480,187,160,800,480,,,
Acer,Acer Iconia Tab A100,7,large,mdpi,1024,600,170,160,"1,024",600,,,
Archos,Archos 7 Home Tablet,7,large,mdpi,800,480,133,160,800,480,,,
Archos,Archos 7c Home Tablet,7,large,mdpi,800,480,133,160,800,480,,,
Archos,Archos 7 Home Tablet V2,7,large,mdpi,800,480,133,160,800,480,,,
Archos,Archos 70 internet tablet,7,large,ldpi,800,480,133,120,"1,067",640,,,
AUGEN Electronics,Gentouch78,7,large,ldpi,800,480,133,120,"1,067",640,,,
Barnes & Noble,Nook Tablet,7,large,mdpi,1024,600,170,160,"1,024",600,,,
Cherry Mobile,Superion,7,large,mdpi,800,480,133,160,800,480,,,
Coby,Kyros,7,large,mdpi,800,480,133,160,800,480,,,
Creative,"ZiiO 7""",7,large,ldpi,480,800,133,120,640,"1,067",,,
Entourage,Pocket eDGe,7,large,ldpi,800,480,133,120,"1,067",640,,,
HTC,Flyer,7,large,mdpi,1024,600,170,160,"1,024",600,,,
Amazon,Kindle Fire,7,large,mdpi,1024,600,170,160,"1,024",600,,,
ViewSonic,ViewPad 7,7,large,ldpi,800,480,133,120,"1,067",640,,,
ZTE,Light,7,large,ldpi,800,400,128,120,"1,067",533,,,
Pandigital,Novel,7.9,extra large,ldpi,800,600,127,120,"1,067",800,,,
Pandigital,Novel,7.9,extra large,ldpi,800,600,127,120,"1,067",800,,,
AOC,AOC Breeze,8,extra large,ldpi,800,600,125,120,"1,067",800,,,
Archos,Archos 8,8,extra large,mdpi,800,480,117,160,800,480,,,
Arnova,Arnova 8,8,extra large,ldpi,800,600,125,120,"1,067",800,,,
Arnova,Arnova 8 G2,8,extra large,ldpi,800,600,125,120,"1,067",800,,,
Arnova,Archos 80 G9,8,extra large,mdpi,1024,768,160,160,"1,024",768,,,
Vizio,Vizio Tablet,8,extra large,mdpi,1024,768,160,160,"1,024",768,,,
Sony,Sony Tablet S,9.4,extra large,mdpi,1280,800,161,160,"1,280",800,,,
Arnova,Arnova 9 G2,9.7,extra large,ldpi,1024,768,132,120,"1,365","1,024",,,
Creative,"ZiiO 10""",10,extra large,ldpi,1024,600,119,120,"1,365",800,,,
Acer,Acer Iconia Tab A500,10.1,extra large,mdpi,1280,800,149,160,"1,280",800,,,
Advent,Vega,10.1,extra large,mdpi,1024,600,118,160,"1,024",600,,2.2,
Arnova,Arnova 10,10.1,extra large,ldpi,1024,600,118,120,"1,365",800,,,
Arnova,Arnova 10 G2,10.1,extra large,ldpi,1024,600,118,120,"1,365",800,,,
Arnova,Archos 101 G9,10.1,extra large,mdpi,1280,800,149,160,"1,280",800,,,
Asus,Eee Pad Transformer (TF101),10.1,extra large,mdpi,1280,800,149,160,"1,280",800,,3.2,4
Asus,Eee Pad Transformer Prime (TF201),10.1,extra large,hdpi,1280,800,149,160,"1,280",800,,,
Asus,Transformer Pad 300 (TF300),10.1,extra large,mdpi,1280,800,149,160,"1,280",800,February 2011,3,4
Entourage,enTourage eDGe,10.1,extra large,ldpi,1024,600,118,120,"1,365",800,,,
Notion Ink,Adam,10.1,extra large,ldpi,1024,600,118,120,"1,365",800,,,
Samsung ,Galaxy Tab 7,7,large,hdpi,600,1024,170,240,400,683,October 2010,2.2,2.3
Samsung,Galaxy Tab 10.1v,10.1,extra large,mdpi,1280,800,149,160,"1,280",800,,,
Síragon,Tablet de Síragon,10.1,extra large,mdpi,1280,800,149,160,"1,280",800,,,
Toshiba,Folio 100,10.1,extra large,ldpi,1024,600,118,120,"1,365",800,,,
Toshiba,Thrive,10.1,extra large,mdpi,1280,800,149,160,"1,280",800,,,
ViewSonic,GTablet,10.1,extra large,ldpi,1024,600,118,120,"1,365",800,,,
Motorola,Xoom MZ601,10.1,extra large,mdpi,800,1280,149.45,160,800,"1,280",March 2011,,
Motorola,Xoom 2,10.1,extra large,mdpi,800,1280,149.45,160,800,"1,280",December 2011,,